# Oracle Event Stream
# Format: t<event_index>: <event_type>(id=<obj_id>, size=<bytes>, site=<site_id>, thread=<thread_id>)
# Total events: 2012
# Allocations: 1006
# Frees: 1006

t898: alloc(id=157627094, size=24, site=122, thread=1283928880)
t902: free(id=157627094, size=24, site=122, thread=1283928880)
t903: alloc(id=932607259, size=24, site=122, thread=1283928880)
t907: free(id=932607259, size=24, site=122, thread=1283928880)
t908: alloc(id=1740000325, size=24, site=122, thread=1283928880)
t912: free(id=1740000325, size=24, site=122, thread=1283928880)
t913: alloc(id=1142020464, size=24, site=122, thread=1283928880)
t917: free(id=1142020464, size=24, site=122, thread=1283928880)
t918: alloc(id=1682092198, size=24, site=122, thread=1283928880)
t922: free(id=1682092198, size=24, site=122, thread=1283928880)
t923: alloc(id=1626877848, size=24, site=122, thread=1283928880)
t927: free(id=1626877848, size=24, site=122, thread=1283928880)
t928: alloc(id=905544614, size=24, site=122, thread=1283928880)
t932: free(id=905544614, size=24, site=122, thread=1283928880)
t933: alloc(id=2137589296, size=24, site=122, thread=1283928880)
t937: free(id=2137589296, size=24, site=122, thread=1283928880)
t938: alloc(id=249515771, size=24, site=122, thread=1283928880)
t942: free(id=249515771, size=24, site=122, thread=1283928880)
t943: alloc(id=796533847, size=24, site=122, thread=1283928880)
t947: free(id=796533847, size=24, site=122, thread=1283928880)
t948: alloc(id=1449621165, size=24, site=122, thread=1283928880)
t952: free(id=1449621165, size=24, site=122, thread=1283928880)
t953: alloc(id=1627960023, size=24, site=122, thread=1283928880)
t957: free(id=1627960023, size=24, site=122, thread=1283928880)
t958: alloc(id=357863579, size=24, site=122, thread=1283928880)
t962: free(id=357863579, size=24, site=122, thread=1283928880)
t963: alloc(id=1811044090, size=24, site=122, thread=1283928880)
t967: free(id=1811044090, size=24, site=122, thread=1283928880)
t968: alloc(id=114132791, size=24, site=122, thread=1283928880)
t972: free(id=114132791, size=24, site=122, thread=1283928880)
t973: alloc(id=586617651, size=24, site=122, thread=1283928880)
t977: free(id=586617651, size=24, site=122, thread=1283928880)
t978: alloc(id=328638398, size=24, site=122, thread=1283928880)
t982: free(id=328638398, size=24, site=122, thread=1283928880)
t983: alloc(id=1789550256, size=24, site=122, thread=1283928880)
t987: free(id=1789550256, size=24, site=122, thread=1283928880)
t988: alloc(id=3447021, size=24, site=122, thread=1283928880)
t992: free(id=3447021, size=24, site=122, thread=1283928880)
t993: alloc(id=440434003, size=24, site=122, thread=1283928880)
t997: free(id=440434003, size=24, site=122, thread=1283928880)
t998: alloc(id=1032616650, size=24, site=122, thread=1283928880)
t1002: free(id=1032616650, size=24, site=122, thread=1283928880)
t1003: alloc(id=99347477, size=24, site=122, thread=1283928880)
t1007: free(id=99347477, size=24, site=122, thread=1283928880)
t1008: alloc(id=566034357, size=24, site=122, thread=1283928880)
t1012: free(id=566034357, size=24, site=122, thread=1283928880)
t1013: alloc(id=940553268, size=24, site=122, thread=1283928880)
t1017: free(id=940553268, size=24, site=122, thread=1283928880)
t1018: alloc(id=1720435669, size=24, site=122, thread=1283928880)
t1022: free(id=1720435669, size=24, site=122, thread=1283928880)
t1023: alloc(id=1020923989, size=24, site=122, thread=1283928880)
t1027: free(id=1020923989, size=24, site=122, thread=1283928880)
t1028: alloc(id=2052915500, size=24, site=122, thread=1283928880)
t1032: free(id=2052915500, size=24, site=122, thread=1283928880)
t1033: alloc(id=1068934215, size=24, site=122, thread=1283928880)
t1037: free(id=1068934215, size=24, site=122, thread=1283928880)
t1038: alloc(id=127618319, size=24, site=122, thread=1283928880)
t1042: free(id=127618319, size=24, site=122, thread=1283928880)
t1043: alloc(id=1798286609, size=24, site=122, thread=1283928880)
t1047: free(id=1798286609, size=24, site=122, thread=1283928880)
t1048: alloc(id=2036958521, size=24, site=122, thread=1283928880)
t1052: free(id=2036958521, size=24, site=122, thread=1283928880)
t1053: alloc(id=1945604815, size=24, site=122, thread=1283928880)
t1057: free(id=1945604815, size=24, site=122, thread=1283928880)
t1058: alloc(id=785992331, size=24, site=122, thread=1283928880)
t1062: free(id=785992331, size=24, site=122, thread=1283928880)
